Date,"Amazon (company)"
2015-07-01,1
2015-07-02,1
2015-07-03,0
2015-07-04,0
2015-07-05,1
2015-07-06,2
2015-07-07,3
2015-07-08,1
2015-07-09,1
2015-07-10,0
2015-07-11,0
2015-07-12,1
2015-07-13,2
2015-07-14,0
2015-07-15,3
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,1
2015-07-21,0
2015-07-22,1
2015-07-23,3
2015-07-24,1
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,1
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,1
2015-08-02,1
2015-08-03,2
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,1
2015-08-08,1
2015-08-09,0
2015-08-10,0
2015-08-11,2
2015-08-12,0
2015-08-13,1
2015-08-14,1
2015-08-15,0
2015-08-16,2
2015-08-17,2
2015-08-18,1
2015-08-19,1
2015-08-20,1
2015-08-21,0
2015-08-22,1
2015-08-23,1
2015-08-24,0
2015-08-25,2
2015-08-26,4
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,1
2015-09-01,1
2015-09-02,1
2015-09-03,0
2015-09-04,0
2015-09-05,1
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,2
2015-09-10,0
2015-09-11,0
2015-09-12,1
2015-09-13,0
2015-09-14,1
2015-09-15,4
2015-09-16,0
2015-09-17,3
2015-09-18,0
2015-09-19,2
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,1
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,3
2015-09-30,0
2015-10-01,0
2015-10-02,2
2015-10-03,0
2015-10-04,0
2015-10-05,1
2015-10-06,1
2015-10-07,1
2015-10-08,0
2015-10-09,1
2015-10-10,0
2015-10-11,1
2015-10-12,1
2015-10-13,2
2015-10-14,1
2015-10-15,2
2015-10-16,1
2015-10-17,0
2015-10-18,1
2015-10-19,1
2015-10-20,1
2015-10-21,0
2015-10-22,1
2015-10-23,1
2015-10-24,2
2015-10-25,0
2015-10-26,1
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,1
2015-10-31,0
2015-11-01,1
2015-11-02,0
2015-11-03,0
2015-11-04,2
2015-11-05,0
2015-11-06,0
2015-11-07,0
2015-11-08,1
2015-11-09,0
2015-11-10,0
2015-11-11,2
2015-11-12,1
2015-11-13,1
2015-11-14,1
2015-11-15,1
2015-11-16,0
2015-11-17,2
2015-11-18,1
