Date,"Google"
2015-07-01,48461
2015-07-02,47677
2015-07-03,44945
2015-07-04,40774
2015-07-05,42162
2015-07-06,46533
2015-07-07,47695
2015-07-08,45521
2015-07-09,43295
2015-07-10,42652
2015-07-11,40136
2015-07-12,39060
2015-07-13,44437
2015-07-14,45269
2015-07-15,44688
2015-07-16,44310
2015-07-17,45166
2015-07-18,41520
2015-07-19,39126
2015-07-20,43620
2015-07-21,44106
2015-07-22,44571
2015-07-23,43264
2015-07-24,42739
2015-07-25,39642
2015-07-26,38859
2015-07-27,42680
2015-07-28,43303
2015-07-29,43318
2015-07-30,41399
2015-07-31,38941
2015-08-01,35412
2015-08-02,34893
2015-08-03,37050
2015-08-04,42050
2015-08-05,43106
2015-08-06,41053
2015-08-07,39559
2015-08-08,35594
2015-08-09,34310
2015-08-10,52050
2015-08-11,142860
2015-08-12,92379
2015-08-13,63505
2015-08-14,52337
2015-08-15,45233
2015-08-16,45375
2015-08-17,48772
2015-08-18,46634
2015-08-19,50785
2015-08-20,47065
2015-08-21,44357
2015-08-22,39223
2015-08-23,35883
2015-08-24,47217
2015-08-25,44070
2015-08-26,44381
2015-08-27,43051
2015-08-28,40061
2015-08-29,35763
2015-08-30,38375
2015-08-31,41393
2015-09-01,78199
2015-09-02,109218
2015-09-03,65827
2015-09-04,61335
2015-09-05,44784
2015-09-06,42803
2015-09-07,47668
2015-09-08,50787
2015-09-09,51673
2015-09-10,55865
2015-09-11,47499
2015-09-12,42725
2015-09-13,44611
2015-09-14,48991
2015-09-15,48825
2015-09-16,49415
2015-09-17,48716
2015-09-18,45271
2015-09-19,40076
2015-09-20,40432
2015-09-21,45065
2015-09-22,44539
2015-09-23,43023
2015-09-24,42100
2015-09-25,38945
2015-09-26,40506
2015-09-27,74184
2015-09-28,55936
2015-09-29,51720
2015-09-30,51322
2015-10-01,45076
2015-10-02,42652
2015-10-03,41419
2015-10-04,38412
2015-10-05,44207
2015-10-06,42879
2015-10-07,49191
2015-10-08,41354
2015-10-09,34480
2015-10-10,36704
2015-10-11,35977
2015-10-12,40583
2015-10-13,41749
2015-10-14,37386
2015-10-15,34973
2015-10-16,34024
2015-10-17,29064
2015-10-18,29640
2015-10-19,35447
2015-10-20,33909
2015-10-21,33412
2015-10-22,34337
2015-10-23,35136
2015-10-24,28874
2015-10-25,28396
2015-10-26,35279
2015-10-27,34568
2015-10-28,35862
2015-10-29,34095
2015-10-30,35115
2015-10-31,29495
2015-11-01,29117
2015-11-02,37298
2015-11-03,33071
2015-11-04,31533
2015-11-05,33338
2015-11-06,38284
2015-11-07,34055
2015-11-08,33024
2015-11-09,39500
2015-11-10,38182
2015-11-11,40362
2015-11-12,41422
2015-11-13,36584
2015-11-14,31607
2015-11-15,32379
2015-11-16,36027
2015-11-17,37516
2015-11-18,39296
2015-11-19,38910
2015-11-20,37396
2015-11-21,35470
2015-11-22,34314
2015-11-23,38712
2015-11-24,41091
2015-11-25,38711
2015-11-26,34823
2015-11-27,32549
2015-11-28,31573
2015-11-29,31781
2015-11-30,39132
2015-12-01,37857
2015-12-02,38094
2015-12-03,190586
2015-12-04,233545
2015-12-05,214713
2015-12-06,190446
2015-12-07,209096
2015-12-08,218053
2015-12-09,210743
2015-12-10,107452
2015-12-11,34630
2015-12-12,31354
2015-12-13,31169
2015-12-14,35885
2015-12-15,34649
2015-12-16,35284
2015-12-17,41562
2015-12-18,38069
2015-12-19,33140
2015-12-20,29612
2015-12-21,33882
2015-12-22,33324
2015-12-23,31775
2015-12-24,30718
2015-12-25,28361
2015-12-26,30263
2015-12-27,31233
2015-12-28,31535
2015-12-29,33504
2015-12-30,33073
2015-12-31,34223
2016-01-01,31111
2016-01-02,37039
2016-01-03,33869
2016-01-04,37264
2016-01-05,37997
2016-01-06,37393
2016-01-07,37417
2016-01-08,37801
2016-01-09,38949
2016-01-10,40018
2016-01-11,40465
2016-01-12,38187
2016-01-13,35357
2016-01-14,36230
2016-01-15,35034
2016-01-16,33089
2016-01-17,34803
2016-01-18,36908
2016-01-19,38368
2016-01-20,39856
2016-01-21,40192
2016-01-22,39723
2016-01-23,36789
2016-01-24,33656
2016-01-25,36749
2016-01-26,36646
2016-01-27,39870
2016-01-28,41885
2016-01-29,39963
2016-01-30,38445
2016-01-31,35166
2016-02-01,41394
2016-02-02,50103
2016-02-03,41525
2016-02-04,39505
2016-02-05,36135
