Date,"Microsoft"
2015-07-01,7479
2015-07-02,7671
2015-07-03,6418
2015-07-04,5829
2015-07-05,6086
2015-07-06,7491
2015-07-07,7518
2015-07-08,10472
2015-07-09,9806
2015-07-10,7816
2015-07-11,6237
2015-07-12,6492
2015-07-13,7857
2015-07-14,7314
2015-07-15,7583
2015-07-16,7442
2015-07-17,6212
2015-07-18,5460
2015-07-19,5669
2015-07-20,7240
2015-07-21,7882
2015-07-22,8788
2015-07-23,8648
2015-07-24,7326
2015-07-25,6010
2015-07-26,6133
2015-07-27,8174
2015-07-28,8182
2015-07-29,10496
2015-07-30,9333
2015-07-31,8510
2015-08-01,6891
2015-08-02,6747
2015-08-03,7100
2015-08-04,8767
2015-08-05,7870
2015-08-06,7955
2015-08-07,8200
2015-08-08,6352
2015-08-09,6449
2015-08-10,8158
2015-08-11,12627
2015-08-12,11063
2015-08-13,9423
2015-08-14,8266
2015-08-15,6269
2015-08-16,6830
2015-08-17,8246
2015-08-18,8220
2015-08-19,7898
2015-08-20,7863
2015-08-21,7450
2015-08-22,6008
2015-08-23,6241
2015-08-24,8008
2015-08-25,8269
2015-08-26,8355
2015-08-27,7684
2015-08-28,7133
2015-08-29,5764
2015-08-30,6253
2015-08-31,7639
2015-09-01,8213
2015-09-02,9056
2015-09-03,8188
2015-09-04,7573
2015-09-05,6047
2015-09-06,6922
2015-09-07,7617
2015-09-08,9301
2015-09-09,10234
2015-09-10,9601
2015-09-11,8428
2015-09-12,6604
2015-09-13,8176
2015-09-14,9546
2015-09-15,9635
2015-09-16,9324
2015-09-17,10055
2015-09-18,8463
2015-09-19,6623
2015-09-20,7239
2015-09-21,9513
2015-09-22,9972
2015-09-23,8698
2015-09-24,8542
2015-09-25,8637
2015-09-26,6374
2015-09-27,9258
2015-09-28,11203
2015-09-29,10138
2015-09-30,9523
2015-10-01,8591
2015-10-02,7923
2015-10-03,6398
2015-10-04,7036
2015-10-05,8574
2015-10-06,10328
2015-10-07,10878
2015-10-08,9524
2015-10-09,10667
2015-10-10,7406
2015-10-11,8038
2015-10-12,9341
2015-10-13,10944
2015-10-14,8489
2015-10-15,9694
2015-10-16,8002
2015-10-17,7063
2015-10-18,7179
2015-10-19,8713
2015-10-20,8677
2015-10-21,8488
2015-10-22,8199
2015-10-23,8403
2015-10-24,6495
2015-10-25,6819
2015-10-26,8177
2015-10-27,8406
2015-10-28,9103
2015-10-29,8618
2015-10-30,7389
2015-10-31,5873
2015-11-01,6382
2015-11-02,8290
2015-11-03,8383
2015-11-04,8583
2015-11-05,8855
2015-11-06,8272
2015-11-07,6038
2015-11-08,6066
2015-11-09,8039
2015-11-10,7917
2015-11-11,8193
2015-11-12,8088
2015-11-13,7287
2015-11-14,5633
2015-11-15,6033
2015-11-16,7676
2015-11-17,8582
2015-11-18,8288
2015-11-19,7809
2015-11-20,7723
2015-11-21,6126
2015-11-22,6186
2015-11-23,7432
2015-11-24,7547
2015-11-25,6990
2015-11-26,6535
2015-11-27,6026
2015-11-28,5645
2015-11-29,6579
2015-11-30,9414
2015-12-01,8550
2015-12-02,9159
2015-12-03,8535
2015-12-04,7844
2015-12-05,5945
2015-12-06,6177
2015-12-07,8839
2015-12-08,8410
2015-12-09,8141
2015-12-10,7738
2015-12-11,7004
2015-12-12,5506
2015-12-13,6242
2015-12-14,7480
2015-12-15,7129
2015-12-16,7093
2015-12-17,7180
2015-12-18,6145
2015-12-19,5072
2015-12-20,5314
2015-12-21,6069
2015-12-22,6466
2015-12-23,5612
2015-12-24,5840
2015-12-25,4410
2015-12-26,4780
2015-12-27,4987
2015-12-28,5967
2015-12-29,6117
2015-12-30,5928
2015-12-31,5355
2016-01-01,4819
2016-01-02,5348
2016-01-03,5519
2016-01-04,7585
2016-01-05,7695
2016-01-06,7654
2016-01-07,7912
2016-01-08,7194
2016-01-09,5963
2016-01-10,6717
2016-01-11,8085
2016-01-12,7771
2016-01-13,8199
2016-01-14,8297
2016-01-15,7185
2016-01-16,5464
2016-01-17,6487
2016-01-18,8824
2016-01-19,9541
2016-01-20,9107
2016-01-21,9301
2016-01-22,7346
2016-01-23,5858
2016-01-24,6110
2016-01-25,7830
2016-01-26,8432
2016-01-27,8085
2016-01-28,8360
2016-01-29,8146
2016-01-30,6142
2016-01-31,6695
2016-02-01,8875
2016-02-02,9256
2016-02-03,8688
2016-02-04,8190
2016-02-05,8164
2016-02-06,6186
2016-02-07,6480
2016-02-08,9083
2016-02-09,9230
2016-02-10,9224
2016-02-11,8940
2016-02-12,33031
2016-02-13,48947
2016-02-14,7220
2016-02-15,8743
2016-02-16,9443
2016-02-17,8971
2016-02-18,9246
2016-02-19,8312
2016-02-20,7407
2016-02-21,7646
2016-02-22,8988
2016-02-23,10590
2016-02-24,9962
2016-02-25,10039
2016-02-26,9336
2016-02-27,7371
2016-02-28,7869
2016-02-29,9467
2016-03-01,9873
2016-03-02,9884
2016-03-03,9596
2016-03-04,8377
2016-03-05,7240
2016-03-06,7326
2016-03-07,9028
2016-03-08,9608
2016-03-09,9526
2016-03-10,9168
2016-03-11,8121
2016-03-12,6264
2016-03-13,6779
2016-03-14,7719
2016-03-15,7335
2016-03-16,8017
2016-03-17,8509
2016-03-18,7129
2016-03-19,5345
2016-03-20,5560
2016-03-21,7152
2016-03-22,7351
2016-03-23,6688
2016-03-24,6603
2016-03-25,5817
2016-03-26,5233
2016-03-27,5261
2016-03-28,6511
2016-03-29,7492
2016-03-30,7729
2016-03-31,7400
2016-04-01,6912
2016-04-02,5495
2016-04-03,5752
2016-04-04,9532
2016-04-05,8375
2016-04-06,8472
2016-04-07,7594
2016-04-08,7635
2016-04-09,5812
2016-04-10,7047
2016-04-11,8158
2016-04-12,7832
2016-04-13,7696
2016-04-14,7575
2016-04-15,7198
2016-04-16,6060
2016-04-17,6321
2016-04-18,8064
2016-04-19,8411
2016-04-20,7845
2016-04-21,8363
2016-04-22,8693
2016-04-23,6272
2016-04-24,6633
2016-04-25,7330
2016-04-26,7622
2016-04-27,8213
2016-04-28,7791
2016-04-29,6932
2016-04-30,5384
2016-05-01,5662
2016-05-02,7230
2016-05-03,7755
2016-05-04,7377
2016-05-05,7437
2016-05-06,6661
2016-05-07,5053
2016-05-08,5371
2016-05-09,7418
2016-05-10,8461
2016-05-11,7595
2016-05-12,8119
2016-05-13,6721
2016-05-14,5140
2016-05-15,5388
2016-05-16,7127
2016-05-17,7900
2016-05-18,8650
